,public_metrics,geo,author_id,text,id,created_at,lang,description,username,name,verified,id,protected,location,full_name,id,place_type,country,geo,name,country_code
0,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",{'place_id': '9d7cae88ff6a29f5'},1455255210943725579,"The Int. Day of Persons with Disabilities (December 3) is an international observance promoted by the United Nations since 1992. The Day aims to promote an understanding of disability issues mobilize support for the dignity, rights and well-being of persons with disabilities. https://t.co/X4iXquPkbs",1466664198746750976,2021-12-03T07:02:48.000Z,en,At PSS we enjoy working with clients who are looking to increase their overall level of wellness as we coach on a variety of issues including mental health.,pss_life,PSS Life Coaching,False,1455255210943725579,False,,"Durban, South Africa",9d7cae88ff6a29f5,city,South Africa,"{'type': 'Feature', 'bbox': [30.8789097, -30.055938, 31.0662492, -29.7453336], 'properties': {}}",Durban,ZA
1,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",{'place_id': 'dd9c0d7d7e07eb49'},364840943,"Thank you for promoting respect for human rights,  the right to life and choice, to dignity and to be treated with respect, Unrestricted by considerations of age, culture, disability, illness, gender, sexual orientation, nationality, politics or social status.",1260207082004979712,2020-05-12T13:55:56.000Z,en,I try with all my might to be myself; I thirst for unique and authentic things. Am rare| Humble| Adventurous| Socialite| Philanthropist| Communicator| Activist❤,lunietoolz,Lunathi Kilani-Matomela 🇿🇦🏳️‍🌈,False,364840943,False,"Milnerton, South Africa",South Africa,dd9c0d7d7e07eb49,country,South Africa,"{'type': 'Feature', 'bbox': [16.4475932, -34.8342468, 32.8922934, -22.1247236], 'properties': {}}",South Africa,ZA
2,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",{'place_id': '0e587c59401d0a27'},110698631,"“Dependency is not a determinant for dignity” @murungi_nkatha, Assistant Director for @CHR_HumanRights at the Advanced Human Rights Course on Disability Rights in an African Context #AHRC2020_DRA #AdvanceDisabilityRights https://t.co/XxwwxKEzIi",1237731499341905920,2020-03-11T13:26:00.000Z,en,"The Centre for Human Rights is both an academic department and a non-governmental organisation, and works towards human rights education in Africa.",CHR_HumanRights,CentreForHumanRights,True,110698631,False,"Pretoria, South Africa","Pretoria, South Africa",0e587c59401d0a27,city,South Africa,"{'type': 'Feature', 'bbox': [27.9483035, -25.9157727, 28.4198285, -25.5894376], 'properties': {}}",Pretoria,ZA
3,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",{'place_id': '7efc470da463c9f0'},1681448828,DIGNITY COLOUR WALK is in full swing. By buying a ticket you are helping in restoring the dignity of children living with disability @SABCNewsOnline @SAfmnews @TimesLIVE @cnnbrk @eNCA @METROFMSA @Radio702 @jozifm @Thabotmf @SundayTimesZA @SowetanLIVE @TheStar_news @Powerfm987 https://t.co/4afBpxGOHs,1147554498589671426,2019-07-06T17:14:47.000Z,en,,Ndangy_M,Nndanganeni Mudau,False,1681448828,False,,"Soweto, South Africa",7efc470da463c9f0,city,South Africa,"{'type': 'Feature', 'bbox': [27.7947598, -26.3054355, 27.9557837, -26.2074073], 'properties': {}}",Soweto,ZA
